K20 complete graph factorization: all P1F classes with |Aut| > 3

Total: 230

     |Aut|   classes
         6       168
         9        46
        18         9
        19         3
        57         1
       171         2
       342         1

Each factorization is listed once, in the canonical form produced by the project
canonizer. Entries are sorted in ascending lexicographic order of that form.


#1 |Aut| = 6
 "   0  4   1  3   2 10   5 17   6 19   7 11   8 12   9 15  13 18  14 16 "
 "   0  5   1  2   3 11   4 16   6 10   7 18   8 14   9 13  12 19  15 17 "
 "   0  6   1 15   2 16   3 18   4  7   5 11   8 17   9 14  10 12  13 19 "
 "   0  7   1 14   2 19   3 17   4 10   5  6   8 15   9 16  11 13  12 18 "
 "   0  8   1  6   2 11   3  5   4 18   7 14   9 17  10 13  12 15  16 19 "
 "   0  9   1  7   2  4   3 10   5 19   6 15   8 16  11 12  13 14  17 18 "
 "   0 10   1 17   2  6   3 12   4 14   5 13   7 19   8 11   9 18  15 16 "
 "   0 11   1 16   2 13   3  7   4 12   5 15   6 18   8 19   9 10  14 17 "
 "   0 12   1 19   2 18   3 14   4 13   5  9   6 17   7  8  10 16  11 15 "
 "   0 13   1 18   2 15   3 19   4  8   5 12   6  9   7 16  10 14  11 17 "
 "   0 14   1  9   2 12   3 16   4 19   5  7   6  8  10 17  11 18  13 15 "
 "   0 15   1  8   2 17   3 13   4  6   5 18   7  9  10 19  11 16  12 14 "
 "   0 16   1 10   2  9   3  4   5 14   6 12   7 15   8 18  11 19  13 17 "
 "   0 17   1 11   2  5   3  8   4 15   6 14   7 13   9 19  10 18  12 16 "
 "   0 18   1 12   2 14   3  9   4 11   5 16   6 13   7 17   8 10  15 19 "
 "   0 19   1 13   2  8   3 15   4 17   5 10   6 16   7 12   9 11  14 18 "

#11 |Aut| = 6
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15  16 17  18 19 "
 "   0  2   1  4   3  6   5  8   7 10   9 12  11 14  13 16  15 18  17 19 "
 "   0  3   1  5   2  7   4  9   6 11   8 13  10 15  12 17  14 19  16 18 "
 "   0  4   1  3   2 11   5 17   6  8   7 19   9 13  10 18  12 15  14 16 "
 "   0  5   1  2   3 10   4 16   6 18   7  9   8 12  11 19  13 14  15 17 "
 "   0  6   1 11   2 14   3  9   4 19   5 10   7 17   8 16  12 18  13 15 "
 "   0  7   1 10   2  8   3 15   4 11   5 18   6 16   9 17  12 14  13 19 "
 "   0  8   1 18   2 12   3 17   4 14   5  7   6 13   9 11  10 16  15 19 "
 "   0  9   1 19   2 16   3 13   4  6   5 15   7 12   8 10  11 17  14 18 "
 "   0 10   1 16   2  9   3  4   5 13   6 14   7 11   8 15  12 19  17 18 "
 "   0 11   1 17   2  5   3  8   4 12   6 10   7 15   9 14  13 18  16 19 "
 "   0 12   1 14   2 17   3 19   4  7   5 16   6 15   8 18   9 10  11 13 "
 "   0 13   1 15   2 18   3 16   4 17   5  6   7 14   8 11   9 19  10 12 "
 "   0 14   1 13   2 19   3 12   4 10   5  9   6 17   7  8  11 18  15 16 "
 "   0 15   1 12   2 13   3 18   4  8   5 11   6  9   7 16  10 19  14 17 "
 "   0 16   1  7   2 15   3 11   4 13   5 19   6 12   8 14   9 18  10 17 "
 "   0 17   1  6   2 10   3 14   4 18   5 12   7 13   8 19   9 15  11 16 "
 "   0 18   1  9   2  4   3  7   5 14   6 19   8 17  10 13  11 15  12 16 "
 "   0 19   1  8   2  6   3  5   4 15   7 18   9 16  10 14  11 12  13 17 "

#12 |Aut| = 6
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15  16 17  18 19 "
 "   0  2   1  4   3  6   5  8   7 10   9 12  11 14  13 16  15 18  17 19 "
 "   0  3   1  5   2  7   4  9   6 11   8 13  10 15  12 17  14 19  16 18 "
 "   0  4   1  3   2 11   5 18   6 16   7 14   8 10   9 15  12 19  13 17 "
 "   0  5   1  2   3 10   4 19   6 15   7 17   8 14   9 11  12 16  13 18 "
 "   0  6   1 19   2  9   3  4   5 13   7 15   8 11  10 16  12 18  14 17 "
 "   0  7   1 18   2  5   3  8   4 12   6 14   9 10  11 17  13 19  15 16 "
 "   0  8   1 14   2 10   3  9   4 18   5 12   6 19   7 16  11 13  15 17 "
 "   0  9   1 15   2  8   3 11   4 13   5 19   6 17   7 18  10 12  14 16 "
 "   0 10   1 16   2 19   3 17   4 11   5  6   7 12   8 18   9 14  13 15 "
 "   0 11   1 17   2 16   3 18   4  7   5 10   6 13   8 15   9 19  12 14 "
 "   0 12   1 10   2 17   3  5   4 14   6  9   7 13   8 16  11 18  15 19 "
 "   0 13   1 11   2  4   3 16   5 15   6 12   7  8   9 17  10 19  14 18 "
 "   0 14   1  9   2 18   3 12   4 15   5 17   6  8   7 11  10 13  16 19 "
 "   0 15   1  8   2 13   3 19   4 16   5 14   6 10   7  9  11 12  17 18 "
 "   0 16   1 12   2 15   3  7   4 10   5  9   6 18   8 17  11 19  13 14 "
 "   0 17   1 13   2  6   3 14   4  8   5 11   7 19   9 16  10 18  12 15 "
 "   0 18   1  6   2 12   3 15   4 17   5  7   8 19   9 13  10 14  11 16 "
 "   0 19   1  7   2 14   3 13   4  6   5 16   8 12   9 18  10 17  11 15 "

#13 |Aut| = 6
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15  16 17  18 19 "
 "   0  2   1  4   3  6   5  8   7 10   9 12  11 14  13 16  15 18  17 19 "
 "   0  3   1  5   2  7   4  9   6 11   8 13  10 15  12 17  14 19  16 18 "
 "   0  4   1  3   2 11   5 19   6 16   7  8   9 15  10 13  12 14  17 18 "
 "   0  5   1  2   3 10   4 18   6  9   7 17   8 14  11 12  13 15  16 19 "
 "   0  6   1 13   2 18   3 14   4  8   5 17   7 11   9 19  10 16  12 15 "
 "   0  7   1 12   2 15   3 19   4 16   5  9   6 10   8 18  11 17  13 14 "
 "   0  8   1 10   2 12   3  4   5  7   6 18   9 14  11 19  13 17  15 16 "
 "   0  9   1 11   2  5   3 13   4  6   7 19   8 15  10 18  12 16  14 17 "
 "   0 10   1  9   2  4   3 11   5 14   6 13   7 16   8 17  12 18  15 19 "
 "   0 11   1  8   2 10   3  5   4 15   6 17   7 12   9 16  13 19  14 18 "
 "   0 12   1 14   2 17   3  8   4 10   5 13   6 19   7 15   9 18  11 16 "
 "   0 13   1 15   2  9   3 16   4 12   5 11   6 14   7 18   8 19  10 17 "
 "   0 14   1  7   2  8   3 18   4 11   5 16   6 12   9 13  10 19  15 17 "
 "   0 15   1  6   2 19   3  9   4 17   5 10   7 13   8 12  11 18  14 16 "
 "   0 16   1 18   2  6   3 12   4 19   5 15   7 14   8 10   9 17  11 13 "
 "   0 17   1 19   2 13   3  7   4 14   5 18   6 15   8 16   9 11  10 12 "
 "   0 18   1 17   2 16   3 15   4 13   5  6   7  9   8 11  10 14  12 19 "
 "   0 19   1 16   2 14   3 17   4  7   5 12   6  8   9 10  11 15  13 18 "

#14 |Aut| = 6
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15  16 17  18 19 "
 "   0  2   1  4   3  6   5  8   7 10   9 12  11 14  13 16  15 18  17 19 "
 "   0  3   1  5   2  7   4  9   6 11   8 13  10 15  12 17  14 19  16 18 "
 "   0  4   1  3   2 13   5 15   6  9   7 16   8 11  10 14  12 19  17 18 "
 "   0  5   1  2   3 12   4 14   6 17   7  8   9 10  11 15  13 18  16 19 "
 "   0  6   1 19   2 12   3 18   4  8   5 16   7 11   9 14  10 17  13 15 "
 "   0  7   1 18   2 19   3 13   4 17   5  9   6 10   8 15  11 16  12 14 "
 "   0  8   1 12   2 18   3 11   4 10   5  6   7 14   9 16  13 19  15 17 "
 "   0  9   1 13   2 10   3 19   4  7   5 11   6 15   8 17  12 18  14 16 "
 "   0 10   1 15   2  6   3  9   4 16   5 19   7 18   8 14  11 12  13 17 "
 "   0 11   1 14   2  8   3  7   4 18   5 17   6 19   9 15  10 13  12 16 "
 "   0 12   1  9   2 17   3 10   4 13   5 14   6  8   7 19  11 18  15 16 "
 "   0 13   1  8   2 11   3 16   4 15   5 12   6 18   7  9  10 19  14 17 "
 "   0 14   1 17   2  5   3  8   4 12   6 16   7 13   9 11  10 18  15 19 "
 "   0 15   1 16   2  9   3  4   5 13   6 12   7 17   8 10  11 19  14 18 "
 "   0 16   1 10   2 14   3 17   4 11   5 18   6 13   7 15   8 12   9 19 "
 "   0 17   1 11   2 16   3 15   4 19   5 10   6 14   7 12   8 18   9 13 "
 "   0 18   1  6   2  4   3 14   5  7   8 19   9 17  10 16  11 13  12 15 "
 "   0 19   1  7   2 15   3  5   4  6   8 16   9 18  10 12  11 17  13 14 "

#15 |Aut| = 6
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15  16 17  18 19 "
 "   0  2   1  4   3  6   5  8   7 10   9 12  11 14  13 16  15 18  17 19 "
 "   0  3   1  5   2  7   4  9   6 11   8 13  10 15  12 17  14 19  16 18 "
 "   0  4   1  6   2  5   3 10   7 14   8 15   9 19  11 16  12 18  13 17 "
 "   0  5   1  7   2 11   3  4   6 15   8 18   9 14  10 17  12 16  13 19 "
 "   0  6   1 15   2 17   3 18   4 11   5 12   7 13   8 19   9 10  14 16 "
 "   0  7   1 14   2 19   3 16   4 13   5 10   6 12   8 11   9 18  15 17 "
 "   0  8   1 17   2 16   3 11   4 14   5  9   6 10   7 12  13 18  15 19 "
 "   0  9   1 16   2 10   3 17   4  8   5 15   6 13   7 11  12 19  14 18 "
 "   0 10   1  3   2  4   5 18   6 17   7  8   9 15  11 13  12 14  16 19 "
 "   0 11   1  2   3  5   4 19   6  9   7 16   8 14  10 12  13 15  17 18 "
 "   0 12   1 11   2 13   3 15   4 16   5 14   6  8   7 18   9 17  10 19 "
 "   0 13   1 10   2 14   3 12   4 15   5 17   6 19   7  9   8 16  11 18 "
 "   0 14   1 12   2 18   3  8   4  6   5 19   7 15   9 16  10 13  11 17 "
 "   0 15   1 13   2  9   3 19   4 18   5  7   6 14   8 17  10 16  11 12 "
 "   0 16   1 19   2 12   3  9   4  7   5 13   6 18   8 10  11 15  14 17 "
 "   0 17   1 18   2  8   3 13   4 12   5  6   7 19   9 11  10 14  15 16 "
 "   0 18   1  8   2  6   3 14   4 10   5 16   7 17   9 13  11 19  12 15 "
 "   0 19   1  9   2 15   3  7   4 17   5 11   6 16   8 12  10 18  13 14 "

#16 |Aut| = 6
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15  16 17  18 19 "
 "   0  2   1  4   3  6   5  8   7 10   9 12  11 14  13 16  15 18  17 19 "
 "   0  3   1  5   2  7   4  9   6 11   8 13  10 15  12 17  14 19  16 18 "
 "   0  4   1  6   2  5   3 12   7  8   9 14  10 16  11 15  13 19  17 18 "
 "   0  5   1  7   2 13   3  4   6  9   8 15  10 14  11 17  12 18  16 19 "
 "   0  6   1 14   2 12   3 16   4 13   5 15   7 11   8 19   9 17  10 18 "
 "   0  7   1 15   2 17   3 13   4 14   5 12   6 10   8 16   9 18  11 19 "
 "   0  8   1 11   2  4   3  9   5 13   6 16   7 15  10 17  12 19  14 18 "
 "   0  9   1 10   2  8   3  5   4 12   6 14   7 17  11 16  13 18  15 19 "
